,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,brand,tweet_clean,target
0,".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,Apple,I have a 3G iPhone After 3 hrs tweeting at RISE Austin it was dead I need to upgrade Plugin stations at SXSW,1.0
1,"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",iPad or iPhone App,Positive emotion,Apple,Know about Awesome iPad iPhone app that you ll likely appreciate for its design Also they re giving free Ts at SXSW,2.0
2,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,Positive emotion,Apple,Can not wait for iPad 2 also They should sale them down at SXSW,2.0
3,@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,iPad or iPhone App,Negative emotion,Apple,I hope this year s festival isn t as crashy as this year s iPhone app sxsw,1.0
4,"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Google,Positive emotion,Google,great stuff on Fri SXSW Marissa Mayer Google Tim O Reilly tech books conferences amp Matt Mullenweg Wordpress,2.0
5,@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,,No emotion toward brand or product,,New iPad Apps For SpeechTherapy And Communication Are Showcased At The SXSW Conference iear edchat asd,0.0
7,"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Android,Positive emotion,Google,SXSW is just starting CTIA is around the corner and googleio is only a hop skip and a jump from there good time to be an android fan,2.0
8,Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,iPad or iPhone App,Positive emotion,Apple,Beautifully smart and simple idea RT wrote about our hollergram iPad app for sxsw,2.0
9,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,Positive emotion,Apple,Counting down the days to sxsw plus strong Canadian dollar means stock up on Apple gear,2.0
10,Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Android,Positive emotion,Google,Excited to meet the at sxsw so I can show them my Sprint Galaxy S still running Android 2 1 fail,2.0
