,tokens,imputed_brand_Apple,imputed_brand_Google,imputed_brand_Missing,target
0,wesley g iphone hr tweet rise austin dead need upgrade plugin station sxsw,1.0,0.0,0.0,1.0
1,jessedee know fludapp awesome ipad iphone app likely appreciate design also they're give free t sxsw,1.0,0.0,0.0,2.0
2,swonderlin wait ipad also sale sxsw,1.0,0.0,0.0,2.0
3,sxsw hope year's festival crashy year's iphone app sxsw,1.0,0.0,0.0,1.0
4,sxtxstate great stuff fri sxsw marissa mayer google tim reilly tech book conference amp matt mullenweg wordpress,0.0,1.0,0.0,2.0
5,teachntech new ipad apps speechtherapy communication showcased sxsw conference http ht ly n iear edchat asd,1.0,0.0,0.0,0.0
6,sxsw start ctia around corner googleio hop skip jump good time android fan,0.0,1.0,0.0,2.0
7,beautifully smart simple idea rt madebymany thenextweb write hollergram ipad app sxsw http bit ly ieavob,1.0,0.0,0.0,2.0
8,count day sxsw plus strong canadian dollar mean stock apple gear,1.0,0.0,0.0,2.0
9,excited meet samsungmobileus sxsw show sprint galaxy still run android fail,0.0,1.0,0.0,2.0
10,find amp start impromptu party sxsw hurricaneparty http bit ly gvlrin can't wait til android app come,0.0,1.0,0.0,2.0
11,foursquare ups game time sxsw http j mp grn pk still prefer gowalla far best look android app date,0.0,1.0,0.0,2.0
12,gotta love sxsw google calendar feature top party show case check rt hamsandwich via ischafer gt http bit ly axzwxb,0.0,1.0,0.0,2.0
13,great sxsw ipad app madebymany http tinyurl com nqv l,1.0,0.0,0.0,2.0
14,haha awesomely rad ipad app madebymany http bit ly htdfim hollergram sxsw,1.0,0.0,0.0,2.0
15,holler gram ipad itunes app store http co kfn f q via marc ken sxsw,1.0,0.0,0.0,0.0
16,noticed dst come weekend many iphone user hour late sxsw come sunday morning sxsw iphone,1.0,0.0,0.0,1.0
17,add sxsw flight planely match people plane airport also download klm iphone app nicely do,1.0,0.0,0.0,2.0
18,must sxsw app rt malbonster lovely review forbes sxsw ipad app holler gram http co g gzypv,1.0,0.0,0.0,2.0
19,need buy ipad i'm austin sxsw sure i'll need q austin apple store,1.0,0.0,0.0,2.0
20,oh god sxsw app ipad pure unadulterated awesome easy browse event ipad website,1.0,0.0,0.0,2.0
21,okay really yay new foursquare android app kthxbai sxsw,0.0,1.0,0.0,2.0
22,photo instal sxsw iphone app really nice http tumblr com x pi av,1.0,0.0,0.0,2.0
23,really enjoy change gowalla android look forward see else amp foursquare sleeve sxsw,0.0,1.0,0.0,2.0
24,rt laurieshook i'm look forward smcdallas pre sxsw party wed hop i'll win ipad result shameless promotion chevysmc,1.0,0.0,0.0,2.0
25,rt haha awesomely rad ipad app madebymany http bit ly htdfim hollergram sxsw via michaelpiliero,1.0,0.0,0.0,2.0
26,someone start austin partnerhub group google group pre sxsw great idea,0.0,1.0,0.0,2.0
27,new sq look like go rock update iphone android push tonight http bit ly etsbzk sxsw keepaustinweird,1.0,0.0,0.0,2.0
28,right gowalla app android sweeeeet nice job team sxsw,0.0,1.0,0.0,2.0
29,smart madebymany hollergram ipad app sxsw http co xvwc may leave vuvuzela home,1.0,0.0,0.0,2.0
30,must app ipad go sxsw http itunes apple com u app holler gram id mt hollergram,1.0,0.0,0.0,2.0
31,attn sxsw frineds mention register gdgtlive see cobra iradar android link,0.0,1.0,0.0,0.0
32,anyone sxsw want sell old ipad,1.0,0.0,0.0,0.0
33,anyone sxsw buy new ipad want sell old ipad,1.0,0.0,0.0,0.0
34,sxsw oooh rt mention google launch major new social network call circle possibly today link,0.0,1.0,0.0,0.0
35,best rt mention ha first line ipad sxsw quot pop quot apple store event planner eventprofs pcma engage,1.0,0.0,0.0,2.0
36,spin play new concept music discovery ipad mention amp spin com link itunes sxsw mention,1.0,0.0,0.0,0.0
37,mention false alarm google circle come probably ever link google circle social sxsw,0.0,1.0,0.0,1.0
38,vatornews google apple force print medium evolve link sxsw,0.0,1.0,0.0,0.0
39,mention great weather greet sxsw still need sweater night apple put quot flash store quot downtown sell ipad,1.0,0.0,0.0,2.0
40,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether get friend link,0.0,1.0,0.0,0.0
41,hey sxsw long think take u make iphone case answer mention use zazzlesxsw make one,1.0,0.0,0.0,0.0
42,mashable ipad take sxsw video ipad sxsw gadget link,1.0,0.0,0.0,0.0
43,pad rt mention new ubersocial iphone app store include uberguide sxsw sponsor link,1.0,0.0,0.0,0.0
44,ipad smartcover open instant access wait get one link apple sxsw,1.0,0.0,0.0,2.0
45,hand hold hobo drafthouse launch hobo shotgun iphone app sxsw link,1.0,0.0,0.0,2.0
46,hooray rt mention apple open pop store austin sxsw mention link,1.0,0.0,0.0,2.0
47,orly mention google set launch new social network circle today sxsw,0.0,1.0,0.0,0.0
48,wooooo mention apple store downtown austin open til midnight sxsw,1.0,0.0,0.0,2.0
49,khoi vinh mention say conde nast's headlong rush ipad publishing quot fundamental misunderstanding quot platform sxsw,1.0,0.0,0.0,0.0
50,mention link lt help forward doc anonymous account techie amp ppl help u jam libya sxsw,0.0,0.0,1.0,0.0
51,link edchat musedchat sxsw sxswi classical newtwitter,0.0,0.0,1.0,0.0
52,mention mention location base fast fun future link via mention sxsw,0.0,0.0,1.0,0.0
53,mention mention google connect digital amp physical world mobile link sxsw mention,0.0,1.0,0.0,0.0
54,mention mention talk link google's effort allow user open system bettercloud sxsw,0.0,1.0,0.0,2.0
55,link rt mention quot google tweet quot new quot think speak quot mark belinsky tweet panel sxsw,0.0,1.0,0.0,0.0
56,link rt mention st stop sxsw chaos amp mention hunt austin java get spy game chance win ipad,1.0,0.0,0.0,2.0
57,link rt mention sxsw check holler gram ipad app mention link,0.0,0.0,1.0,0.0
58,mention mention amp mention fun google pic sxsw link,0.0,1.0,0.0,0.0
59,quot via mention link guy kawasaki talk enchant sxsw know stuff book internet apple sxsw quot,1.0,0.0,0.0,0.0
60,futuremf mention link spec recipes web google search link sxsw,0.0,1.0,0.0,0.0
61,omfg rt mention heard apple's pop store downtown austin pic already gowalla link sxsw ipad,1.0,0.0,0.0,2.0
62,smile rt mention think apple's quot pop store quot austin would lot interest actually know popped sxsw,1.0,0.0,0.0,0.0
63,rt mention line apple store insane sxsw,1.0,0.0,0.0,1.0
64,agree rt mention wait fiona apple town somebody kidnap put record studio record new album sxsw,0.0,0.0,1.0,0.0
65,sxsw mention mention wanna buy drink pm fado th link join u,0.0,0.0,1.0,0.0
66,attend mention ipad design headache sxsw link,1.0,0.0,0.0,1.0
67,boooo rt mention flipboard develop iphone version android say mention sxsw,0.0,1.0,0.0,1.0
68,check mention mention amp mention line ipad austin power sxswi sxsw link,1.0,0.0,0.0,2.0
